Spine Id;Dendrite Segment;Distance to dendrite;Spine Position X;Spine Position Y;Spine Position Z;Spine Volume;Spine Area;Spine Length;Spine Mean Diameter;Spine Max Diameter;Spine Min Diameter;Spine Neck Length;Spine Neck Mean Diameter;Spine Neck Max Diameter;Spine Neck Min Diameter;Spine Neck Volume;Spine Orientation Angle;Spine Straightness;Spine Branchings
Apical-723000025;874;0,459239;645,87;758,93;82,14;0,15;1,48;1,07;0,71;1,4;0,4;0,37;0,47;0,51;0,42;0,12;32,16;0,99;0
Apical-723000026;865;0,628809;643,55;759,44;82,04;0,33;2,67;1,56;0,59;1,07;0,4;0,51;0,44;0,51;0,4;0,17;99,19;0,97;0
Apical-723000027;853;0,556643;640,57;757,78;81,67;0,43;2,79;1,09;0,84;1,79;0,44;0;0,44;0,44;0,44;0;-123,62;0,99;0
Apical-723000028;845;0,477515;638,87;757,52;80,57;0,5;3,58;1,71;0,63;1,11;0,4;0,49;0,42;0,47;0,4;0,03;-60,38;0,99;0
Apical-723000029;838;0,310667;637,5;758,36;79,54;0,21;1,66;0,96;0,86;1,42;0,48;0;0,6;0,6;0,6;0,15;10,85;0,99;0
Apical-723000030;834;0,655623;636,26;758,91;79,26;0,57;3,99;1,97;0,63;1,06;0,4;0,54;0,41;0,42;0,4;0,11;80,35;0,93;0
Apical-723000031;833;0,256679;636,37;758,22;79,09;0,17;1,48;0,99;0,7;1,06;0,4;0;0,55;0,55;0,55;0,14;10,82;0,91;0
Apical-723000032;825;0,158372;634,72;757,59;78,28;0,1;0,93;0,62;0,81;1,26;0,48;0;0;0;0;0,04;26,37;1;0
Apical-723000033;820;0,612566;633,15;757,31;77,88;0,25;2,16;1,42;0,68;1,43;0,42;0,83;0,5;0,63;0,42;0,19;162,27;0,89;0
Apical-723000034;818;0,111852;633,41;757,16;76,95;0,07;0,71;0,48;0,81;1,2;0,48;0;0;0;0;0,01;29,88;0,99;0
Apical-723000035;810;0,156321;631,96;756,36;75,65;0,12;1,14;0,76;0,82;1,11;0,48;0;0;0;0;0,06;43,73;1;0
Apical-723000036;797;0,603838;628,89;755,17;75,72;0,25;2,2;1,6;0,75;1,59;0,46;0,54;0,47;0,48;0,46;0,19;104,84;0,9;0
Apical-723000037;788;0,923366;627,15;755,83;73,61;0,65;4,23;2,14;0,68;1,84;0,4;0,78;0,45;0,58;0,4;0,18;98,76;0,91;0
